class,g_reflection,i_reflection,speed,brightness,time_of_observance,volume
transport,2.1906722187398815,6.7166328073799555,62.168207561358,0.347465021759117,158221,44.93244608479791
transport,3.4532758542438504,8.995908596922032,62.99470682796765,0.5900936844970208,385972,41.56830000571521
transport,2.432993875742652,6.938690729093191,62.24580677848954,0.3292878484310676,446482,40.12346741609167
fighter,6.083762715264727,3.019459474985637,18.474554696416455,0.17473779239563852,210125,11.384865339446504
fighter,12.876768803365778,2.452949855160217,195.805771069772,0.15044571388709585,23109,11.328806237528324
cruiser,11.83961994310824,11.175052956124933,14.148614897932523,0.7270485644742776,366230,344.8689893069895
transport,3.5830816376454933,9.11806940137871,62.57338871599884,0.529415943689113,268752,48.811193905509604
fighter,16.18537959576484,3.686698315920193,561.2390667170102,0.1770236472523401,130305,11.063792211010698
transport,3.4286048182410824,7.933888819032123,63.785882378772634,0.44525852502479063,358659,46.37830433886236
transport,3.632056282440638,8.94529912124613,62.77170883408979,0.36181450067286963,493153,43.07098651313128
fighter,9.468370808209055,3.0580115466388835,690.7271896530511,0.15077342309784736,28856,13.880643877934741
fighter,12.146224138465161,5.094015588286627,357.3281760468455,0.1349042745064286,380638,10.142749216400128
fighter,13.283432672431111,3.525820625146973,132.47341976502383,0.19455256839064855,552164,11.80209911070692
fighter,9.260027130100573,5.475400572301092,338.2675580878766,0.19956319744911702,21320,11.062829250884423
transport,3.2325124891994763,6.900194392169806,62.26780557126189,0.5078314791454059,227919,45.66555788513762
cruiser,12.250560694212071,9.945198018709624,19.73046695879581,0.6111230617276195,159260,452.8300158887971
transport,5.62281323738072,7.12223687243482,62.08910194751587,0.5681665743098536,177124,39.752419110208116
transport,2.8605644351222823,8.079137479820098,62.509682933925674,0.5593047647824699,101845,42.16430112236921
transport,2.617450062849072,9.116283379132508,62.970675917826924,0.5453835381484,369363,49.388059638598776
fighter,8.260849849602788,6.873622099972594,41.94253535231514,0.14369761869600534,193192,13.704267010849213
transport,2.5495197101161113,9.075917447089742,62.01655749945261,0.5845394096107493,255969,45.83694457004849
fighter,14.517814322452798,4.20468445373291,20.40892317867509,0.1659233182051137,15996,11.008141023143432
transport,2.978798260051136,7.948053805457795,62.42587255111744,0.32603456694381927,434338,44.6317400305214
transport,3.1822089141030956,7.061518866658703,62.17269710765151,0.599471134832825,391323,47.865181024184196
transport,2.7574904474628243,7.125773736900299,62.412993414572085,0.4072419069677876,169141,40.06070954312121
fighter,10.249888307066165,4.0009347700758235,318.6655233695715,0.12400051711983724,492287,11.940061637580243
fighter,13.572371307481836,3.4545229617419766,397.9450739590074,0.11266945551927378,91182,13.475425119876176
transport,3.112566090141721,7.8687194188243135,62.174099886963894,0.5526557355685564,88856,46.02222522574874
fighter,10.68844235604821,2.395584193555038,434.96474877547126,0.17141393295559798,218601,10.489966760853509
fighter,11.021299293606736,4.357411159233324,451.09993833619984,0.12392455540442558,456770,10.853106366340329
fighter,6.348350333046833,6.5611863928594465,647.5429290827648,0.1045536873510829,287267,9.152253577516321
transport,1.3713417675058641,8.191026854094229,62.71665422963701,0.3698521397936776,46441,46.026116968836966
fighter,7.570190815875845,4.013799643647851,445.390248726069,0.18244881169756635,86965,10.212222365845655
cruiser,13.394708931377263,7.8290751543262775,70.8553204432522,0.43302219663535335,331397,376.00213065191645
cruiser,13.453951541080727,8.955181712209468,128.4405038805491,0.5092426387616836,519787,474.786805997422
cruiser,12.79633877989003,10.013733049434403,383.22121035772096,0.6801047250121867,341751,343.825363519501
transport,3.849607417570868,6.901903061460741,63.093991103384106,0.5158216465403588,117685,47.924616184341346
fighter,9.216142458905015,9.227632334998162,418.7169526310084,0.14998388037147276,192980,11.863046318063645
fighter,9.487343341530217,2.173991737594352,455.1581301150112,0.1303135069296869,322372,11.271640840891022
cruiser,11.535494463087232,9.011285963848232,110.22644352072204,0.7886011678253164,34861,437.98771471872107
fighter,5.51436531493303,3.932865080314286,277.2308765071395,0.18170609574782146,274132,14.6591377873615
transport,2.78376188716872,8.063537116019477,63.19893613876958,0.5778862831873065,491919,43.12028019072292
cruiser,10.019978708123093,9.961744117288259,195.85366993012804,0.6380343932221708,141868,301.7298793266845
fighter,7.069178360089075,3.966413872085634,582.5948299223114,0.14549932820733408,567040,10.083923569658493
transport,4.380458582659225,8.094900270009457,62.88912107574333,0.33619132216652,502939,42.99015637400039
fighter,11.337753393277275,3.9338137904471324,692.2396229432999,0.1697291194009814,42999,14.24356267833877
fighter,8.9214571240839,10.462676277700082,516.9323634179725,0.11764098483001634,180870,10.080706596211165
transport,2.678582543422576,9.129139590831647,62.747192525771766,0.49176455639374317,56431,47.13585815329195
fighter,11.779080795934327,3.580853098009613,529.2688608476399,0.17942309187376448,308221,14.595628624867528
transport,4.024467709889445,8.05465091678921,64.17732741660494,0.34601541139011005,250546,48.85872327217723
transport,3.2988414362703624,6.962181609288169,63.804014531381476,0.3756493803273733,300758,49.49736331198408
transport,2.0128813042523905,7.194256783981915,62.140374084201014,0.43205503814608137,438229,42.180784902217546
transport,4.166541549607168,6.944946177704569,62.16134559592085,0.592279932812094,5130,43.633729716858234
transport,4.192211387292858,6.865619386377161,62.39591157336612,0.4935977229170676,211218,42.86178834384372
fighter,14.440328829562038,4.7247921305552545,12.822346504280688,0.1814950530085985,479435,12.587150078363704
transport,2.6025188331023106,6.86480143999217,63.19654019149944,0.38047371296343024,543156,45.187798912781055
fighter,11.537132607711877,5.181081671106233,656.7546793594285,0.14063501249788982,163411,12.81845422380456
fighter,7.821950639082493,6.632654292642046,314.13914739988275,0.14647658824703325,405197,10.961305933671685
transport,3.5787617823136837,8.074563442532726,62.69904977589134,0.5657464429752777,402793,47.095790722192355
fighter,7.0525847113862525,7.29659583069156,240.29560661898444,0.19924071866468884,7669,11.927924940879443
transport,3.2554925079145343,8.032540304843794,63.50516308146691,0.3991122669477841,351908,46.83279392930273
transport,3.9570034705156307,6.943425248216285,63.25802372660776,0.5062201902634113,303667,41.91863799158281
fighter,10.801627940147695,11.481238470702095,517.3016784763892,0.1151442452677681,217393,10.22324576745567
fighter,8.859958472250131,2.1168704994491114,341.5168006144561,0.15818376015676733,80305,10.194693519256369
fighter,11.572803086643903,3.096283071320637,241.28261060061246,0.1423823061394648,232203,12.863662170786062
transport,3.1827808564132933,8.040980015387856,62.0100714038508,0.4992687824177483,386428,46.73541115191701
transport,4.522049048782843,8.150241419472312,63.62968980963204,0.32942004901698657,6176,42.70956572261386
transport,2.705813902084767,8.929327726104939,62.68484648304071,0.5276590099927027,376913,46.1750878674604
fighter,9.860471298746365,2.0417281300430505,609.4761146218286,0.12502725226469397,382424,13.14333032075269
fighter,12.37912692969119,4.555935732340088,51.364475227475246,0.1771848799636059,521263,12.166209212836023
transport,2.1349364493839875,8.866627131631615,63.03590552442586,0.46639883726226006,197153,46.930261953378036
fighter,11.900710357979591,4.344458570013135,33.3587783692259,0.1794669083188797,11086,10.559740869425681
fighter,7.640282120865589,5.610925219404169,407.0289424753512,0.12037056682086844,44851,9.581086284397575
fighter,6.715183319105536,2.4088290805074783,586.2379739966519,0.13024223612293823,208707,11.954310871865848
transport,3.7452052143586965,7.889889545056364,62.75336405340566,0.3340657585321432,357444,42.122955812831265
fighter,8.540287828160062,2.237386429129281,416.76878626778836,0.1993327031698397,450416,12.130713899552239
fighter,9.67268487361661,2.9492074728001176,453.8750723679522,0.14509555577321126,89848,11.447322258600853
transport,3.463475174715111,9.004083074138077,63.249715788506364,0.4597868619647307,167664,42.945775479820185
transport,5.610510066926606,7.016709929485632,62.15225089942275,0.42220309048761273,207832,47.95979486177186
fighter,13.327667585400722,5.6276307913169195,237.69988718028597,0.10429017424795756,359542,13.140880531465598
fighter,9.50383206232786,3.518894247920587,635.0465715234975,0.15216376630084194,412211,10.824956202929952
fighter,8.08872566226192,3.0423023539526715,508.3648232697433,0.12968487754488933,333522,13.940043920868158
cruiser,13.707909015288916,7.939183356340418,398.0344273995886,0.6982686195565629,403240,445.2093259679067
transport,3.546988102551384,7.900290897829083,62.05583963527677,0.47591979108642524,299528,48.844886672482666
fighter,9.187566448660093,2.4261904597007136,468.6707532347107,0.10820162252143317,421606,10.542709785648903
transport,3.203593915349268,6.939361036863609,62.19959860277487,0.4071050299199742,11313,43.88829576659018
fighter,9.325300577464066,5.5553415141619364,372.63111219655264,0.17878828817274034,1643,11.428170936024163
fighter,8.52404274597551,6.328178315158601,381.71426731433337,0.1705909113165769,281018,11.554322883797438
fighter,9.72336863078245,8.223297072638061,516.0640334681838,0.12124181727848299,53526,10.096959523776945
fighter,13.134828981916424,5.5529018943830515,305.72048490470075,0.18525037225543825,509297,13.174467793894847
fighter,10.055840908223368,6.647842735035764,673.3483029797051,0.12912130420214216,40689,12.784286514225453
fighter,7.192663113986152,6.277756103269406,11.348152881417096,0.16173014601304422,285050,12.836969895494311
transport,4.078529820406184,6.991569492977802,62.05671005392869,0.4277707399535874,564435,47.720719324270995
fighter,16.72373869934431,6.365403323273941,516.9006896116715,0.11348982040170756,240440,13.869265404143954
fighter,7.498838750225835,7.9964034888743525,522.5453990161718,0.17220144791645242,140233,10.823876871441605
transport,3.580591150327294,7.128215070394274,62.241813141627226,0.5093980919746306,98099,45.053950557961656
transport,2.3315170360617374,7.019094228854247,63.360688318868576,0.48136420931309154,53090,40.08468375309661
fighter,9.809920991172493,3.629271006712766,555.6141263896048,0.12089076853026215,221710,10.674318241096175
transport,4.519240284110941,8.893530868877983,62.36228943211057,0.38757647873619727,295316,46.259226427852475
fighter,11.43984892348581,2.6218634955618,116.63474133622275,0.19810315360944056,9880,12.934082981505567
fighter,7.286901202746527,4.08075808151467,270.43862185522744,0.16416005245201296,451642,10.321995430104351
