x y
1490.2203038937428 290.87255361611903
887.4495270056327 1202.7507208331604
1495.4866664263218 305.7993799795942
907.5145634997575 1190.7537109560496
1506.0794249585747 301.61392995480105
1082.5068256694635 909.7471318089562
1095.8493455580751 908.1447377202918
907.9115553291806 1198.475408826321
1104.0223358469027 909.5567281305405
1099.646688553056 904.4527610944754
1113.0463269809488 907.6947671494453
908.6323484960328 1216.561177105913
901.5484158425429 1209.194867322027
1499.0472240557406 300.9641625431967
893.9703074656379 1192.407091737243
879.4152412640956 1208.979636605344
1503.5532868814282 292.66479214718214
904.6785182895156 1199.311360377003
1097.7441122548828 900.6901441396404
891.7688641056534 1204.161534735384
1514.223013000336 290.74203974258455
1492.0006946791198 288.2116674726535
1488.7628244782854 290.845206898703
1108.2423398237427 885.2365114715917
1100.2446620359005 911.4333072437632
913.4306283048353 1214.6292757933597
1499.1380013578482 297.80887435156325
1093.8080534137518 904.4191496941271
1091.9564132319886 923.8154102947368
1508.1674472269133 309.06055565462145
